title,funder_name,funder_type,description,sectors,geography,deadline,requires_12a,requires_80g,requires_fcra,min_years_registered,source_url,verified
Deendayal Disabled Rehabilitation Scheme (DDRS),Ministry of Social Justice & Empowerment,govt,Financial assistance to NGOs for providing education and vocational training to persons with disabilities.,disability,India,,true,false,false,3,https://depwd.gov.in/schemes,yes
Scheme for Prevention of Alcoholism and Substance (Drugs) Abuse,Ministry of Social Justice & Empowerment,govt,Support for running Integrated Rehabilitation Centres for Addicts (IRCAs).,social_welfare|health,India,,true,false,false,3,https://socialjustice.gov.in/schemes/23,yes
Integrated Programme for Senior Citizens (IPSrC),Ministry of Social Justice & Empowerment,govt,Grant-in-aid for running Senior Citizen Homes and related facilities.,social_welfare,India,,true,false,false,3,https://socialjustice.gov.in/schemes/24,yes
Free Coaching Scheme for SC and OBC Students,Ministry of Social Justice & Empowerment,govt,Assistance for providing free coaching for competitive exams to SC/OBC students.,education,India,,true,false,false,3,https://socialjustice.gov.in/schemes/25,yes
PM DAKSH Yojana,Ministry of Social Justice & Empowerment,govt,"Skill development training programmes for SC, OBC, EBC, DNTs, Safai Karamcharis.",skill_development,India,,true,false,false,3,https://pmdaksh.dosje.gov.in,yes
Grants-in-Aid to Voluntary Organisations working for STs,Ministry of Tribal Affairs,govt,"Financial support for projects spanning education, health and livelihood for Scheduled Tribes.",social_welfare,India,,true,false,false,3,https://tribal.nic.in,yes
Vocational Training in Tribal Areas,Ministry of Tribal Affairs,govt,Upgrading skills of tribal youth to enhance their employability.,skill_development,India,,true,false,false,3,https://tribal.nic.in,yes
Development of Particularly Vulnerable Tribal Groups (PVTGs),Ministry of Tribal Affairs,govt,Comprehensive socio-economic development of PVTGs through NGO implementation.,social_welfare,India,,true,false,false,3,https://tribal.nic.in,yes
Mission Shakti - Sambal,Ministry of Women & Child Development,govt,"Initiative focused on safety and security of women, including One Stop Centres and Women Helplines.",women_empowerment,India,,true,false,false,3,https://wcd.gov.in,yes
Mission Shakti - Samarthya,Ministry of Women & Child Development,govt,"Initiative for empowerment of women, including Shakti Sadan, Hub for Empowerment of Women.",women_empowerment,India,,true,false,false,3,https://wcd.gov.in,yes
Mission Vatsalya,Ministry of Women & Child Development,govt,"Support for statutory bodies, service delivery structures and institutional care for children.",social_welfare,India,,true,false,false,3,https://wcd.gov.in,yes
Support to Training and Employment Programme for Women (STEP),Ministry of Women & Child Development,govt,Providing skills that give employability to women and to provide competencies and skill that enable women to become self-employed.,women_empowerment|skill_development,India,,true,false,false,2,https://wcd.gov.in,yes
Ujjawala Scheme,Ministry of Women & Child Development,govt,"Comprehensive scheme for prevention of trafficking and rescue, rehabilitation and re-integration of victims of trafficking.",women_empowerment,India,,true,false,false,3,https://wcd.gov.in,yes
Swadhar Greh Scheme,Ministry of Women & Child Development,govt,Provides a supportive institutional framework for women victims of difficult circumstances.,women_empowerment,India,,true,false,false,3,https://wcd.gov.in,yes
"Science, Technology and Innovation (STI) Hubs for SC/ST",Dept. of Science & Technology,govt,Establishing STI Hubs for improving the livelihoods of SC/ST communities.,technology|social_welfare,India,,true,false,false,1,https://dst.gov.in,yes
Science and Technology for Women,Dept. of Science & Technology,govt,Promoting gender equality and empowering women through science and technology interventions.,technology|women_empowerment,India,,true,false,false,2,https://dst.gov.in,yes
Scheme for Young Scientists and Technologists (SYST),Dept. of Science & Technology,govt,Encouraging young scientists to take up science and technology based socio-economic projects.,technology,India,,true,false,false,1,https://dst.gov.in,yes
